Day,Month,Year,Zero,Channel,Position
22,8,2020,25,3,23.8
22,8,2020,25,3,24.05
22,8,2020,25,4,23.35
22,8,2020,25,4,23.75
22,8,2020,25,5,23.55
22,8,2020,25,5,23.85
22,8,2020,25,6,22.7
22,8,2020,25,6,23
22,8,2020,25,7,23.3
22,8,2020,25,7,23.6
28,8,2020,25,8,23
28,8,2020,25,8,23.4
28,8,2020,25,9,22.8
28,8,2020,25,9,23.15
28,8,2020,25,10,22.7
28,8,2020,25,10,23
28,8,2020,25,11,22.4
28,8,2020,25,11,22.75
28,8,2020,25,12,22.4
28,8,2020,25,12,22.7
28,8,2020,25,13,22
28,8,2020,25,13,22.3
28,8,2020,25,14,22.5
28,8,2020,25,14,22.6
28,8,2020,25,15,23.6
28,8,2020,25,15,23.9
22,8,2020,25,16,23.6
22,8,2020,25,16,23.9
22,8,2020,25,17,23
22,8,2020,25,17,23.35
22,8,2020,25,18,23.5
22,8,2020,25,18,23.8
22,8,2020,25,19,23.3
22,8,2020,25,19,23.6
22,8,2020,25,20,23.4
22,8,2020,25,20,23.75
22,8,2020,25,21,22.95
22,8,2020,25,21,23.25
22,8,2020,25,22,23
22,8,2020,25,22,23.1
28,8,2020,25,24,23.3
28,8,2020,25,24,23.6
28,8,2020,25,25,22.25
28,8,2020,25,25,22.55
28,8,2020,25,26,22.2
28,8,2020,25,26,22.5
28,8,2020,25,27,22.15
28,8,2020,25,27,22.45
31,8,2020,25,0,23.1
31,8,2020,25,0,22.7
31,8,2020,25,1,23.4
31,8,2020,25,1,23.1
31,8,2020,25,2,23.7
31,8,2020,25,2,23.4
31,8,2020,25,28,23
31,8,2020,25,28,22.7
31,8,2020,25,29,22.15
31,8,2020,25,29,21.85
31,8,2020,25,30,22.9
31,8,2020,25,30,22.5
31,8,2020,25,31,22.2
31,8,2020,25,31,21.9
17,10,2020,25,0,22.4
17,10,2020,25,1,22.8
17,10,2020,25,2,23.1
17,10,2020,25,3,23.5
17,10,2020,25,4,23
17,10,2020,25,5,23.2
17,10,2020,25,6,22.4
17,10,2020,25,7,23
17,10,2020,25,8,22.7
17,10,2020,25,9,22.5
17,10,2020,25,10,22.4
17,10,2020,25,11,22.1
17,10,2020,25,13,21.7
17,10,2020,25,14,22.2
17,10,2020,25,15,23.3
17,10,2020,25,16,23.3
17,10,2020,25,17,22.7
17,10,2020,25,18,23.2
17,10,2020,25,19,23
17,10,2020,25,20,23.1
17,10,2020,25,21,22.6
17,10,2020,25,22,22.7
17,10,2020,25,24,23
17,10,2020,25,25,24.7
17,10,2020,25,26,21.9
17,10,2020,25,27,21.8
17,10,2020,25,28,22.4
17,10,2020,25,29,21.5
17,10,2020,25,30,22.15
17,10,2020,25,31,21.6
1,11,2020,24.85,0,22
1,11,2020,24.85,1,22.4
1,11,2020,24.85,2,22.9
1,11,2020,24.85,3,23.2
1,11,2020,24.85,4,22.8
1,11,2020,24.85,5,22.9
1,11,2020,24.85,6,22.1
1,11,2020,24.85,7,22.7
1,11,2020,24.85,8,22.5
1,11,2020,24.85,9,22.3
1,11,2020,24.85,10,22
1,11,2020,24.85,11,21.8
1,11,2020,24.85,12,21.9
1,11,2020,24.85,13,21.5
1,11,2020,24.85,14,21.8
1,11,2020,24.85,15,22.9
1,11,2020,24.85,16,22.9
1,11,2020,24.85,17,22.2
1,11,2020,24.85,18,22.9
1,11,2020,24.85,19,22.6
1,11,2020,24.85,20,22.9
1,11,2020,24.85,21,22.3
1,11,2020,24.85,22,22.3
1,11,2020,24.85,24,22.75
1,11,2020,24.85,25,24.4
1,11,2020,24.85,26,21.7
1,11,2020,24.85,27,21.6
1,11,2020,24.85,28,22.2
1,11,2020,24.85,29,21.2
1,11,2020,24.85,30,21.9
1,11,2020,24.85,31,21.3
2,12,2020,22.7,23,21.2
2,12,2020,22.7,23,20.6
7,12,2020,22.75,0,19.6
7,12,2020,22.75,1,20
7,12,2020,22.75,2,20.6
7,12,2020,22.75,3,20.8
7,12,2020,22.75,4,20.4
7,12,2020,22.75,5,20.6
7,12,2020,22.75,6,19.8
7,12,2020,22.75,7,20.4
7,12,2020,22.75,8,20.2
7,12,2020,22.75,9,20
7,12,2020,22.75,10,19.6
7,12,2020,22.75,11,19.4
7,12,2020,22.75,12,19.5
7,12,2020,22.75,13,19.2
7,12,2020,22.75,14,19.4
7,12,2020,22.75,15,20.5
7,12,2020,22.75,16,20.6
7,12,2020,22.75,17,19.7
7,12,2020,22.75,18,20.6
7,12,2020,22.75,19,20.2
7,12,2020,22.75,20,20.6
7,12,2020,22.75,21,19.9
7,12,2020,22.75,22,19.9
7,12,2020,22.75,23,20.5
7,12,2020,22.75,24,20.3
7,12,2020,22.75,25,22
7,12,2020,22.75,26,19.4
7,12,2020,22.75,27,19.3
7,12,2020,22.75,28,19.8
7,12,2020,22.75,29,18.9
7,12,2020,22.75,30,19.6
7,12,2020,22.75,31,19
2,1,2021,22.5,0,19
2,1,2021,22.5,1,19.4
2,1,2021,22.5,2,20.2
2,1,2021,22.5,3,20.2
2,1,2021,22.5,4,19.8
2,1,2021,22.5,5,20
2,1,2021,22.5,6,19.2
2,1,2021,22.5,7,19.8
2,1,2021,22.5,8,19.6
2,1,2021,22.5,9,19.4
2,1,2021,22.5,10,19
2,1,2021,22.5,11,19
2,1,2021,22.5,12,18.9
2,1,2021,22.5,13,18.6
2,1,2021,22.5,14,18.8
2,1,2021,22.5,15,19.9
2,1,2021,22.5,16,20
2,1,2021,22.5,17,19.1
2,1,2021,22.5,18,20
2,1,2021,22.5,19,19.6
2,1,2021,22.5,20,20
2,1,2021,22.5,21,19.3
2,1,2021,22.5,22,19.3
2,1,2021,22.5,23,19.9
2,1,2021,22.5,24,19.7
2,1,2021,22.5,25,21.4
2,1,2021,22.5,26,18.8
2,1,2021,22.5,27,18.7
2,1,2021,22.5,28,19.2
2,1,2021,22.5,29,18.3
2,1,2021,22.5,30,19
2,1,2021,22.5,31,18.4
23,1,2021,22.5,0,18.6
23,1,2021,22.5,1,19.1
23,1,2021,22.5,2,20.1
23,1,2021,22.5,3,20.1
23,1,2021,22.5,4,19.6
23,1,2021,22.5,5,19.85
23,1,2021,22.5,6,19
23,1,2021,22.5,7,19.6
23,1,2021,22.5,8,19.4
23,1,2021,22.5,9,19.2
23,1,2021,22.5,10,18.8
23,1,2021,22.5,11,18.9
23,1,2021,22.5,12,18.7
23,1,2021,22.5,13,18.4
23,1,2021,22.5,14,18.3
23,1,2021,22.5,15,19.4
23,1,2021,22.5,16,19.9
23,1,2021,22.5,17,18.6
23,1,2021,22.5,18,19.8
23,1,2021,22.5,19,19.3
23,1,2021,22.5,20,19.8
23,1,2021,22.5,21,19.1
23,1,2021,22.5,22,19.1
23,1,2021,22.5,23,19.6
23,1,2021,22.5,24,19.5
23,1,2021,22.5,25,20.9
23,1,2021,22.5,26,18.6
23,1,2021,22.5,27,18.5
23,1,2021,22.5,28,18.7
23,1,2021,22.5,29,18.1
23,1,2021,22.5,30,18.8
23,1,2021,22.5,31,18.2