Date,Zero,Channel,Movement,Depth
14/4/2017,24.75,0,23.35,-1.4
14/4/2017,24.75,0,23.05,-1.7
14/4/2017,24.75,1,23.65,-1.1
14/4/2017,24.75,1,23.35,-1.4
14/4/2017,24.75,2,21,-3.75
14/4/2017,24.75,3,23.3,-1.45
14/4/2017,24.75,3,23,-1.75
14/4/2017,24.75,4,23.5,-1.25
14/4/2017,24.75,5,23.15,-1.6
14/4/2017,24.75,5,22.85,-1.9
14/4/2017,24.75,6,22.85,-1.9
14/4/2017,24.75,6,22.5,-2.25
14/4/2017,24.75,7,23.5,-1.25
14/4/2017,24.75,7,23.2,-1.55
14/4/2017,24.75,8,22.95,-1.8
14/4/2017,24.75,8,22.65,-2.1
14/4/2017,24.75,9,22.95,-1.8
14/4/2017,24.75,9,22.95,-1.8
14/4/2017,24.75,10,22.8,-1.95
14/4/2017,24.75,10,22.5,-2.25
14/4/2017,24.75,11,23.15,-1.6
14/4/2017,24.75,11,22.85,-1.9
14/4/2017,24.75,12,23.25,-1.5
14/4/2017,24.75,12,22.95,-1.8
14/4/2017,24.75,13,23.1,-1.65
14/4/2017,24.75,13,22.8,-1.95
14/4/2017,24.75,14,23.45,-1.3
14/4/2017,24.75,14,23.15,-1.6
14/4/2017,24.75,15,23.3,-1.45
14/4/2017,24.75,15,23,-1.75
14/4/2017,24.75,16,23.6,-1.15
14/4/2017,24.75,16,23,-1.75
14/4/2017,24.75,17,23.65,-1.1
14/4/2017,24.75,17,23.35,-1.4
14/4/2017,24.75,18,23.9,-0.85
14/4/2017,24.75,18,23.6,-1.15
14/4/2017,24.75,19,23.35,-1.4
14/4/2017,24.75,19,23,-1.75
14/4/2017,24.75,20,22.7,-2.05
14/4/2017,24.75,20,22.4,-2.35
14/4/2017,24.75,21,23.5,-1.25
14/4/2017,24.75,21,23.15,-1.6
14/4/2017,24.75,22,23.3,-1.45
14/4/2017,24.75,22,23,-1.75
14/4/2017,24.75,23,23.35,-1.4
14/4/2017,24.75,23,23,-1.75
14/4/2017,24.75,24,23.5,-1.25
14/4/2017,24.75,24,23.2,-1.55
14/4/2017,24.75,25,22.3,-2.45
14/4/2017,24.75,25,22.1,-2.65
14/4/2017,24.75,26,23.8,-0.95
14/4/2017,24.75,26,23.5,-1.25
14/4/2017,24.75,27,22.95,-1.8
14/4/2017,24.75,27,22.65,-2.1
14/4/2017,24.75,28,23.7,-1.05
14/4/2017,24.75,28,23.4,-1.35
14/4/2017,24.75,29,23.05,-1.7
14/4/2017,24.75,29,22.75,-2
14/4/2017,24.75,30,23.45,-1.3
14/4/2017,24.75,30,23.15,-1.6
14/4/2017,24.75,31,23.25,-1.5
14/4/2017,24.75,31,23,-1.75
27/5/2017,24.75,0,22.85,-1.9
27/5/2017,24.75,1,23.15,-1.6
27/5/2017,24.75,3,22.8,-1.95
27/5/2017,24.75,4,23.2,-1.55
27/5/2017,24.75,5,22.75,-2
27/5/2017,24.75,6,22.3,-2.45
27/5/2017,24.75,7,23,-1.75
27/5/2017,24.75,8,22.55,-2.2
27/5/2017,24.75,9,22.75,-2
27/5/2017,24.75,10,22.3,-2.45
27/5/2017,24.75,11,22.65,-2.1
27/5/2017,24.75,12,22.75,-2
27/5/2017,24.75,13,22.6,-2.15
27/5/2017,24.75,14,22.95,-1.8
27/5/2017,24.75,15,22.8,-1.95
27/5/2017,24.75,16,22.8,-1.95
27/5/2017,24.75,17,23.15,-1.6
27/5/2017,24.75,18,23.4,-1.35
27/5/2017,24.75,19,22.8,-1.95
27/5/2017,24.75,20,22.2,-2.55
27/5/2017,24.75,21,22.95,-1.8
27/5/2017,24.75,22,22.8,-1.95
27/5/2017,24.75,23,22.8,-1.95
27/5/2017,24.75,24,23,-1.75
27/5/2017,24.75,25,21.9,-2.85
27/5/2017,24.75,26,23.3,-1.45
27/5/2017,24.75,27,22.45,-2.3
27/5/2017,24.75,28,23.2,-1.55
27/5/2017,24.75,29,22.5,-2.25
27/5/2017,24.75,30,23,-1.75
27/5/2017,24.75,31,22.8,-1.95
30/09/2017,24.9,3,22.5,-2.4
30/09/2017,24.9,4,22.75,-2.15
30/09/2017,24.9,6,22.2,-2.7
30/09/2017,24.9,15,22.6,-2.3
30/09/2017,24.9,17,22.7,-2.2
30/09/2017,24.9,18,23,-1.9
30/09/2017,24.9,19,22.5,-2.4
30/09/2017,24.9,20,22,-2.9
30/09/2017,24.9,21,22.6,-2.3
30/09/2017,24.9,22,22.6,-2.3
30/09/2017,24.9,23,22.4,-2.5
30/09/2017,24.9,24,22.8,-2.1
30/09/2017,24.9,25,21.7,-3.2
30/09/2017,24.9,26,23.3,-1.6
23/08/2017,24.9,0,22.75,-2.15
23/08/2017,24.9,1,23.1,-1.8
23/08/2017,24.9,3,22.8,-2.1
23/08/2017,24.9,4,23.1,-1.8
23/08/2017,24.9,5,22.7,-2.2
23/08/2017,24.9,6,22.35,-2.55
23/08/2017,24.9,7,23.05,-1.85
23/08/2017,24.9,8,22.5,-2.4
23/08/2017,24.9,9,22.8,-2.1
23/08/2017,24.9,10,22.35,-2.55
23/08/2017,24.9,11,22.7,-2.2
23/08/2017,24.9,12,22.8,-2.1
23/08/2017,24.9,13,22.65,-2.25
23/08/2017,24.9,14,23,-1.9
23/08/2017,24.9,15,22.85,-2.05
23/08/2017,24.9,16,22.8,-2.1
23/08/2017,24.9,17,23.1,-1.8
23/08/2017,24.9,18,23.45,-1.45
23/08/2017,24.9,19,22.8,-2.1
23/08/2017,24.9,20,22.25,-2.65
23/08/2017,24.9,21,23,-1.9
23/08/2017,24.9,22,22.85,-2.05
23/08/2017,24.9,23,22.8,-2.1
23/08/2017,24.9,24,23.05,-1.85
23/08/2017,24.9,25,21.95,-2.95
23/08/2017,24.9,26,23.35,-1.55
23/08/2017,24.9,27,22.2,-2.7
23/08/2017,24.9,28,23.25,-1.65
23/08/2017,24.9,29,22.55,-2.35
23/08/2017,24.9,30,23,-1.9
23/08/2017,24.9,31,22.9,-2
22/09/2017,24.9,0,22.65,-2.25
22/09/2017,24.9,1,22.9,-2
22/09/2017,24.9,3,22.6,-2.3
22/09/2017,24.9,4,22.8,-2.1
22/09/2017,24.9,5,22.5,-2.4
22/09/2017,24.9,6,22.3,-2.6
22/09/2017,24.9,15,22.7,-2.2
22/09/2017,24.9,16,22.7,-2.2
22/09/2017,24.9,17,22.8,-2.1
22/09/2017,24.9,18,23.1,-1.8
22/09/2017,24.9,19,22.6,-2.3
22/09/2017,24.9,20,22.15,-2.75
22/09/2017,24.9,21,22.7,-2.2
22/09/2017,24.9,22,22.7,-2.2
22/09/2017,24.9,23,22.5,-2.4
22/09/2017,24.9,24,22.9,-2
22/09/2017,24.9,25,21.8,-3.1
4/11/17,24.9,4,22.7,-2.2
4/11/17,24.9,16,22.6,-2.3
4/11/17,24.9,17,22.6,-2.3
4/11/17,24.9,18,22.9,-2
4/11/17,24.9,19,22.4,-2.5
4/11/17,24.9,20,21.95,-2.95
4/11/17,24.9,21,22.5,-2.4
4/11/17,24.9,23,22.3,-2.6
4/11/17,24.9,24,22.75,-2.15
4/11/17,24.9,25,21.6,-3.3
11/11/17,24.9,0,22.55,-2.35
11/11/17,24.9,1,22.8,-2.1
11/11/17,24.9,3,22.4,-2.5
11/11/17,24.9,4,22.6,-2.3
11/11/17,24.9,5,22.4,-2.5
11/11/17,24.9,6,22.1,-2.8
11/11/17,24.9,7,22.95,-1.95
11/11/17,24.9,8,22.4,-2.5
11/11/17,24.9,9,22.7,-2.2
11/11/17,24.9,10,22.25,-2.65
11/11/17,24.9,11,22.6,-2.3
11/11/17,24.9,12,22.7,-2.2
11/11/17,24.9,13,22.55,-2.35
11/11/17,24.9,14,22.9,-2
11/11/17,24.9,15,22.5,-2.4
11/11/17,24.9,16,22.5,-2.4
11/11/17,24.9,17,22.5,-2.4
11/11/17,24.9,18,22.8,-2.1
11/11/17,24.9,19,22.3,-2.6
11/11/17,24.9,20,21.85,-3.05
11/11/17,24.9,21,22.4,-2.5
11/11/17,24.9,22,22.5,-2.4
11/11/17,24.9,23,22.2,-2.7
11/11/17,24.9,24,22.65,-2.25
11/11/17,24.9,25,21.5,-3.4
11/11/17,24.9,26,23.2,-1.7
11/11/17,24.9,27,22.1,-2.8
11/11/17,24.9,28,23.15,-1.75
11/11/17,24.9,29,22.45,-2.45
11/11/17,24.9,30,22.9,-2
11/11/17,24.9,31,22.8,-2.1
25/11/2017,24.9,16,22.3,-2.6
25/11/2017,24.9,17,22.2,-2.7
25/11/2017,24.9,18,22.6,-2.3
25/11/2017,24.9,19,22.1,-2.8
25/11/2017,24.9,20,21.7,-3.2
25/11/2017,24.9,21,22.2,-2.7
25/11/2017,24.9,23,22,-2.9
25/11/2017,24.9,24,22.5,-2.4
25/11/2017,24.9,25,21.4,-3.5
13/01/2018,24.9,0,22.5,-2.4
13/01/2018,24.9,1,22.75,-2.15
13/01/2018,24.9,3,22.35,-2.55
13/01/2018,24.9,4,22.55,-2.35
13/01/2018,24.9,5,22.25,-2.65
13/01/2018,24.9,6,21.9,-3
13/01/2018,24.9,7,22.9,-2
13/01/2018,24.9,8,22.35,-2.55
13/01/2018,24.9,9,22.65,-2.25
13/01/2018,24.9,10,22.2,-2.7
13/01/2018,24.9,11,22.55,-2.35
13/01/2018,24.9,12,22.6,-2.3
13/01/2018,24.9,13,22.45,-2.45
13/01/2018,24.9,14,22.85,-2.05
13/01/2018,24.9,15,22.3,-2.6
13/01/2018,24.9,16,22.2,-2.7
13/01/2018,24.9,17,22,-2.9
13/01/2018,24.9,18,22.4,-2.5
13/01/2018,24.9,19,21.9,-3
13/01/2018,24.9,20,21.65,-3.25
13/01/2018,24.9,21,22,-2.9
13/01/2018,24.9,22,22.4,-2.5
13/01/2018,24.9,23,21.8,-3.1
13/01/2018,24.9,24,22.4,-2.5
13/01/2018,24.9,25,21.2,-3.7
13/01/2018,24.9,26,23.15,-1.75
13/01/2018,24.9,27,22.05,-2.85
13/01/2018,24.9,28,23.1,-1.8
13/01/2018,24.9,29,22.4,-2.5
13/01/2018,24.9,30,22.8,-2.1
13/01/2018,24.9,31,22.75,-2.15
07/07/2018,24.8,1,22.55,-2.25
07/07/2018,24.8,3,22.15,-2.65
07/07/2018,24.8,4,22.45,-2.35
07/07/2018,24.8,5,22.05,-2.75
07/07/2018,24.8,6,21.7,-3.1
07/07/2018,24.8,7,22.7,-2.1
07/07/2018,24.8,8,22.15,-2.65
07/07/2018,24.8,9,22.45,-2.35
07/07/2018,24.8,10,22,-2.8
07/07/2018,24.8,11,22.35,-2.45
07/07/2018,24.8,12,22.4,-2.4
07/07/2018,24.8,13,22.25,-2.55
07/07/2018,24.8,14,22.65,-2.15
07/07/2018,24.8,15,22.1,-2.7
07/07/2018,24.8,16,22,-2.8
07/07/2018,24.8,17,21.8,-3
07/07/2018,24.8,18,22.2,-2.6
07/07/2018,24.8,19,21.7,-3.1
07/07/2018,24.8,20,21.5,-3.3
07/07/2018,24.8,21,21.8,-3
07/07/2018,24.8,22,22.2,-2.6
07/07/2018,24.8,23,21.6,-3.2
07/07/2018,24.8,24,22.2,-2.6
07/07/2018,24.8,25,21,-3.8
07/07/2018,24.8,26,22.95,-1.85
07/07/2018,24.8,27,21.85,-2.95
07/07/2018,24.8,28,22.9,-1.9
07/07/2018,24.8,29,22.2,-2.6
07/07/2018,24.8,30,22.6,-2.2
07/07/2018,24.8,31,22.55,-2.25
15/09/2018,24.4,6,21.25,-3.15
15/09/2018,24.4,8,21.7,-2.7
15/09/2018,24.4,10,21.55,-2.85
15/09/2018,24.4,13,21.8,-2.6
15/09/2018,24.4,16,21.55,-2.85
15/09/2018,24.4,21,21.35,-3.05
15/09/2018,24.4,25,20.55,-3.85
15/09/2018,24.4,26,22.5,-1.9
15/09/2018,24.4,27,21.4,-3
